dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
9000,2.75,80.15339724096836,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T22:37:48,,
9358,2.75,216.56974937241546,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T23:46:44,,
1000,3.0,48.241099141205495,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T17:18:15,,
2000,3.0,53.803521504738306,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T17:25:34,,
3000,3.0,46.38066276287911,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T17:35:53,,
4000,3.0,31.995320186611764,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T17:55:26,,
5000,3.0,29.7966131662181,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T18:20:10,,
6000,3.0,151.59379941806372,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T18:55:37,,
7000,3.0,39.784488330086894,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T19:41:14,,
8000,3.0,39.24275004218363,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T20:37:07,,
8500,3.0,40.023380214295514,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T21:39:44,,
9000,3.0,286.08313037062965,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T22:43:21,,
9358,3.0,346.85190668726887,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_3.0_2021-05-13T23:59:57,,
4000,0.1,44.71434723882899,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-05-15T15:14:54,,
5000,0.1,61.795493389387644,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-05-16T07:45:23,,
6000,0.1,56.97032984715021,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-05-18T06:11:34,,
1000,0.1,47.22869111614344,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T11:56:04,,
2000,0.1,75.04310680974903,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T12:09:47,,
3000,0.1,82.95478971343428,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T12:24:33,,
7000,0.1,57.904472107296975,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T13:24:40,,
8500,0.1,68.0648662250514,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T13:44:51,,
9000,0.1,59.63130938136968,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T13:49:20,,
9358,0.1,16.576043571914166,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.1_2021-06-04T13:53:57,,
1000,0.25,46.21307075106535,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-05-15T09:32:21,,
2000,0.25,65.18161504786177,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-05-15T11:06:30,,
3000,0.25,73.38275072609495,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-05-15T12:47:35,,
4000,0.25,45.64026658194084,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-05-15T15:47:23,,
5000,0.25,49.41278510107461,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-05-16T08:40:44,,
6000,0.25,16.858928570391267,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-05-18T07:00:35,,
7000,0.25,58.618586766906844,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-06-04T14:31:49,,
8000,0.25,87.61343822109977,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-06-04T14:36:05,,
8500,0.25,71.83960182306227,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-06-04T14:40:30,,
9000,0.25,15.181493584802153,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-06-04T14:45:02,,
9358,0.25,11.427760356429847,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.25_2021-06-04T14:49:36,,
2000,0.5,55.08098894451193,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-05-15T11:09:03,,
3000,0.5,107.18365553380178,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-05-15T12:55:49,,
4000,0.5,79.87584115430053,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-05-15T16:19:48,,
5000,0.5,46.74305050782861,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-05-16T08:52:25,,
6000,0.5,47.68840366015338,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-05-18T07:25:19,,
1000,0.5,67.94150261304085,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-06-04T14:52:31,,
7000,0.5,82.3400446404183,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-06-04T15:13:38,,
8000,0.5,77.69934407960636,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-06-04T15:18:10,,
8500,0.5,25.004277291322918,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-06-04T15:22:53,,
9000,0.5,44.1225248402703,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-06-04T15:27:44,,
9358,0.5,16.57453609645102,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.5_2021-06-04T15:32:42,,
1000,0.75,64.46810450234052,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-05-15T09:42:01,,
3000,0.75,85.35650986353093,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-05-15T13:01:19,,
4000,0.75,84.50078168784697,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-05-15T16:40:22,,
5000,0.75,52.41192071194234,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-05-16T09:25:37,,
6000,0.75,62.52147601221652,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-05-18T08:00:36,,
2000,0.75,7.079968143344578,tensorflow_privacy,smartnoise_mwem,smartnoise_mwem_0.75_2021-06-04T15:38:53,,
