query,dataset_size,epsilon,result,tool,time
sum_ppeducat,6000,0.5,22.135785007072137,smartnoise_dpctgan,
sum_ppincimp,6000,0.5,14.038701622971287,smartnoise_dpctgan,
sum_q1,6000,0.5,13.27614648630815,smartnoise_dpctgan,
avg_insured,7000,0.5,62.95436968290796,smartnoise_dpctgan,
avg_ppeducat,7000,0.5,27.37226277372262,smartnoise_dpctgan,
avg_ppincimp,7000,0.5,3.0139470616175115,smartnoise_dpctgan,
avg_q1,7000,0.5,7.131170662905502,smartnoise_dpctgan,
count_insured,7000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,7000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,7000,0.5,0.0,smartnoise_dpctgan,
count_q1,7000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,7000,0.5,539.7685894256396,smartnoise_dpctgan,
histogram_ppeducat,7000,0.5,203.45291306081904,smartnoise_dpctgan,
histogram_ppincimp,7000,0.5,54.33734341302768,smartnoise_dpctgan,
histogram_q1,7000,0.5,152.6252530898134,smartnoise_dpctgan,
sum_insured,7000,0.5,62.95436968290796,smartnoise_dpctgan,
sum_ppeducat,7000,0.5,27.37226277372263,smartnoise_dpctgan,
sum_ppincimp,7000,0.5,3.0139470616175137,smartnoise_dpctgan,
sum_q1,7000,0.5,7.1311706629055,smartnoise_dpctgan,
avg_insured,8000,0.5,51.83175033921303,smartnoise_dpctgan,
